dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,0.906,0.397,0.552,0.935,0.397,0.558
SEIR015_sl1000_mr0125_nv10_10,0.818,0.474,0.6,0.909,0.526,0.667
SEIR015_sl1000_mr0125_nv10_11,0.833,0.385,0.526,0.833,0.385,0.526
SEIR015_sl1000_mr0125_nv10_12,1,0.286,0.444,0.8,0.286,0.421
SEIR015_sl1000_mr0125_nv10_13,0.963,0.52,0.675,0.966,0.56,0.709
SEIR015_sl1000_mr0125_nv10_14,0.806,0.558,0.659,0.906,0.558,0.69
SEIR015_sl1000_mr0125_nv10_15,0.8,0.267,0.4,0.8,0.267,0.4
SEIR015_sl1000_mr0125_nv10_16,0.732,0.651,0.689,0.774,0.651,0.707
SEIR015_sl1000_mr0125_nv10_17,0.75,0.577,0.652,0.682,0.577,0.625
SEIR015_sl1000_mr0125_nv10_18,0.625,0.5,0.556,0.714,0.5,0.588
SEIR015_sl1000_mr0125_nv10_19,0.833,0.484,0.612,0.882,0.484,0.625
SEIR015_sl1000_mr0125_nv10_2,0.9,0.562,0.692,0.9,0.562,0.692
SEIR015_sl1000_mr0125_nv10_20,0.929,0.634,0.754,0.923,0.585,0.716
SEIR015_sl1000_mr0125_nv10_3,0.714,0.556,0.625,0.714,0.556,0.625
SEIR015_sl1000_mr0125_nv10_4,1,0.6,0.75,1,0.6,0.75
SEIR015_sl1000_mr0125_nv10_5,0.688,0.216,0.328,0.688,0.216,0.328
SEIR015_sl1000_mr0125_nv10_6,0.812,0.371,0.51,0.867,0.371,0.52
SEIR015_sl1000_mr0125_nv10_7,0.816,0.456,0.585,0.886,0.456,0.602
SEIR015_sl1000_mr0125_nv10_8,0.8,0.444,0.571,1,0.278,0.435
SEIR015_sl1000_mr0125_nv10_9,0.5,0.238,0.323,0.833,0.238,0.37
SEIR015_sl1000_mr025_nv10_1,0.889,0.8,0.842,0.889,0.8,0.842
SEIR015_sl1000_mr025_nv10_10,0.5,0.091,0.154,0.75,0.273,0.4
SEIR015_sl1000_mr025_nv10_11,0.857,0.429,0.571,0.923,0.429,0.585
SEIR015_sl1000_mr025_nv10_12,0.833,0.5,0.625,0.833,0.5,0.625
SEIR015_sl1000_mr025_nv10_13,0.286,0.2,0.235,0.25,0.2,0.222
SEIR015_sl1000_mr025_nv10_14,0.818,0.36,0.5,0.833,0.4,0.541
SEIR015_sl1000_mr025_nv10_15,0.586,0.293,0.391,0.607,0.293,0.395
SEIR015_sl1000_mr025_nv10_16,0.727,0.571,0.64,0.8,0.571,0.667
SEIR015_sl1000_mr025_nv10_17,0.833,0.395,0.536,0.789,0.395,0.526
SEIR015_sl1000_mr025_nv10_18,0.75,0.486,0.59,0.944,0.459,0.618
SEIR015_sl1000_mr025_nv10_19,0.727,0.421,0.533,0.9,0.474,0.621
SEIR015_sl1000_mr025_nv10_2,0.769,0.357,0.488,0.909,0.357,0.513
SEIR015_sl1000_mr025_nv10_20,0.333,0.25,0.286,0.8,0.5,0.615
SEIR015_sl1000_mr025_nv10_3,0.848,0.609,0.709,1,0.609,0.757
SEIR015_sl1000_mr025_nv10_4,0.826,0.432,0.567,0.864,0.432,0.576
SEIR015_sl1000_mr025_nv10_5,0.885,0.479,0.622,0.958,0.479,0.639
SEIR015_sl1000_mr025_nv10_6,1,0.5,0.667,0.958,0.5,0.657
SEIR015_sl1000_mr025_nv10_7,0.833,0.556,0.667,0.857,0.667,0.75
SEIR015_sl1000_mr025_nv10_8,1,0.65,0.788,1,0.65,0.788
SEIR015_sl1000_mr025_nv10_9,0.938,0.536,0.682,0.968,0.536,0.69
SEIR015_sl1000_mr025_nv20_1,0.556,0.333,0.417,0.833,0.333,0.476
SEIR015_sl1000_mr025_nv20_10,0.6,0.333,0.429,0.6,0.333,0.429
SEIR015_sl1000_mr025_nv20_11,0.889,0.615,0.727,0.8,0.615,0.696
SEIR015_sl1000_mr025_nv20_12,0.55,0.55,0.55,0.733,0.55,0.629
SEIR015_sl1000_mr025_nv20_13,0.667,0.667,0.667,0.778,0.778,0.778
SEIR015_sl1000_mr025_nv20_14,0.778,0.318,0.452,0.8,0.364,0.5
