dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl250_mr025_nv10_1,0.667,0.118,0.2,0.923,0.706,0.8
SEIR015_sl250_mr025_nv10_10,0.818,0.153,0.257,0.724,0.356,0.477
SEIR015_sl250_mr025_nv10_11,0.8,0.235,0.364,0.654,0.5,0.567
SEIR015_sl250_mr025_nv10_12,1,0.14,0.245,0.667,0.558,0.608
SEIR015_sl250_mr025_nv10_13,1,0.5,0.667,0.818,0.562,0.667
SEIR015_sl250_mr025_nv10_14,1,0.08,0.148,0.481,0.52,0.5
SEIR015_sl250_mr025_nv10_15,0.812,0.265,0.4,0.61,0.51,0.556
SEIR015_sl250_mr025_nv10_16,0,0,0,0.529,0.333,0.409
SEIR015_sl250_mr025_nv10_17,0,0,0,0,0,0
SEIR015_sl250_mr025_nv10_18,0,0,0,0.429,0.273,0.333
SEIR015_sl250_mr025_nv10_19,0.9,0.243,0.383,0.619,0.351,0.448
SEIR015_sl250_mr025_nv10_2,0.5,0.045,0.083,0.375,0.136,0.2
SEIR015_sl250_mr025_nv10_20,0.909,0.303,0.455,0.688,0.667,0.677
SEIR015_sl250_mr025_nv10_3,0,0,0,0.182,0.133,0.154
SEIR015_sl250_mr025_nv10_4,0.7,0.28,0.4,0.769,0.8,0.784
SEIR015_sl250_mr025_nv10_5,1,0.125,0.222,0.625,0.625,0.625
SEIR015_sl250_mr025_nv10_6,0.923,0.343,0.5,0.593,0.457,0.516
SEIR015_sl250_mr025_nv10_7,1,0.25,0.4,0.667,0.25,0.364
SEIR015_sl250_mr025_nv10_8,0.938,0.556,0.698,0.864,0.704,0.776
SEIR015_sl250_mr025_nv10_9,0.8,0.267,0.4,0.833,0.667,0.741
SEIR01_sl250_mr025_nv10_1,0.882,0.333,0.484,0.763,0.644,0.699
SEIR01_sl250_mr025_nv10_10,1,0.353,0.522,0.714,0.882,0.789
SEIR01_sl250_mr025_nv10_11,0.667,0.25,0.364,0.667,0.625,0.645
SEIR01_sl250_mr025_nv10_12,0.952,0.465,0.625,0.75,0.837,0.791
SEIR01_sl250_mr025_nv10_13,0,0,0,0.333,0.333,0.333
SEIR01_sl250_mr025_nv10_14,0.875,0.457,0.6,0.714,0.543,0.617
SEIR01_sl250_mr025_nv10_15,0,0,0,0.667,0.857,0.75
SEIR01_sl250_mr025_nv10_16,0.867,0.283,0.426,0.629,0.478,0.543
SEIR01_sl250_mr025_nv10_17,1,0.125,0.222,0.5,0.625,0.556
SEIR01_sl250_mr025_nv10_18,1,0.344,0.512,0.733,0.688,0.71
SEIR01_sl250_mr025_nv10_19,1,0.667,0.8,0.9,0.75,0.818
SEIR01_sl250_mr025_nv10_2,0.5,0.071,0.125,0.714,0.714,0.714
SEIR01_sl250_mr025_nv10_20,0.625,0.278,0.385,0.722,0.722,0.722
SEIR01_sl250_mr025_nv10_3,1,0.556,0.714,0.741,0.741,0.741
SEIR01_sl250_mr025_nv10_4,0.857,0.429,0.571,0.8,0.857,0.828
SEIR01_sl250_mr025_nv10_5,0.909,0.244,0.385,0.742,0.561,0.639
SEIR01_sl250_mr025_nv10_6,0.8,0.182,0.296,0.652,0.682,0.667
SEIR01_sl250_mr025_nv10_7,0.8,0.286,0.421,0.706,0.857,0.774
SEIR01_sl250_mr025_nv10_8,1,0.353,0.522,0.906,0.853,0.879
SEIR01_sl250_mr025_nv10_9,0.913,0.344,0.5,0.824,0.689,0.75
SIR003_sl250_mr05_nv10_1,0.857,0.375,0.522,0.739,0.531,0.618
SIR003_sl250_mr05_nv10_10,0.8,0.211,0.333,0.625,0.526,0.571
SIR003_sl250_mr05_nv10_11,0.5,0.083,0.143,0.6,0.5,0.545
SIR003_sl250_mr05_nv10_12,1,0.385,0.556,0.692,0.692,0.692
SIR003_sl250_mr05_nv10_13,0,0,0,0,0,0
SIR003_sl250_mr05_nv10_14,0.833,0.625,0.714,0.75,0.75,0.75
SIR003_sl250_mr05_nv10_15,1,0.5,0.667,0.875,0.875,0.875
SIR003_sl250_mr05_nv10_16,1,0.273,0.429,0.714,0.455,0.556
SIR003_sl250_mr05_nv10_17,0.857,0.267,0.407,0.711,0.6,0.651
SIR003_sl250_mr05_nv10_18,0.75,0.222,0.343,0.556,0.37,0.444
SIR003_sl250_mr05_nv10_19,1,0.08,0.148,0.444,0.16,0.235
SIR003_sl250_mr05_nv10_2,1,0.429,0.6,0.833,0.714,0.769
SIR003_sl250_mr05_nv10_20,0.737,0.341,0.467,0.69,0.488,0.571
SIR003_sl250_mr05_nv10_3,0.9,0.409,0.563,0.8,0.727,0.762
SIR003_sl250_mr05_nv10_4,1,0.25,0.4,0.667,0.667,0.667
SIR003_sl250_mr05_nv10_5,0.833,0.455,0.588,0.688,0.5,0.579
SIR003_sl250_mr05_nv10_6,0.929,0.394,0.553,0.857,0.545,0.667
SIR003_sl250_mr05_nv10_7,0.786,0.239,0.367,0.567,0.37,0.447
SIR003_sl250_mr05_nv10_8,1,0.412,0.583,0.75,0.529,0.621
SIR003_sl250_mr05_nv10_9,1,0.111,0.2,0.6,0.667,0.632
SIR01_sl250_mr15_nv10_1,1,0.294,0.455,0.667,0.471,0.552
SIR01_sl250_mr15_nv10_10,1,0.375,0.545,0.727,0.571,0.64
SIR01_sl250_mr15_nv10_11,1,0.292,0.452,0.667,0.417,0.513
SIR01_sl250_mr15_nv10_12,1,0.316,0.48,0.684,0.684,0.684
SIR01_sl250_mr15_nv10_13,1,0.231,0.375,0.636,0.538,0.583
SIR01_sl250_mr15_nv10_14,1,0.4,0.571,0.615,0.533,0.571
SIR01_sl250_mr15_nv10_15,1,0.125,0.222,0.333,0.25,0.286
SIR01_sl250_mr15_nv10_16,1,0.348,0.516,0.778,0.609,0.683
SIR01_sl250_mr15_nv10_17,1,0.429,0.6,0.875,1,0.933
SIR01_sl250_mr15_nv10_18,0.5,0.1,0.167,0.545,0.6,0.571
SIR01_sl250_mr15_nv10_19,1,0.714,0.833,0.714,0.714,0.714
SIR01_sl250_mr15_nv10_2,1,0.444,0.615,0.778,0.778,0.778
SIR01_sl250_mr15_nv10_20,0.5,0.143,0.222,0.5,0.571,0.533
SIR01_sl250_mr15_nv10_3,1,0.214,0.353,0.615,0.571,0.593
SIR01_sl250_mr15_nv10_4,0.667,0.333,0.444,0.667,0.5,0.571
SIR01_sl250_mr15_nv10_5,1,0.222,0.364,0.5,0.444,0.471
SIR01_sl250_mr15_nv10_6,0.8,0.186,0.302,0.6,0.279,0.381
SIR01_sl250_mr15_nv10_7,0.9,0.22,0.353,0.696,0.39,0.5
SIR01_sl250_mr15_nv10_8,0.8,0.444,0.571,0.833,0.556,0.667
SIR01_sl250_mr15_nv10_9,1,0.1,0.182,0.286,0.2,0.235
,0.8045375,0.273925,0.3937625,0.6512625,0.55485,0.590975
